token	freq	correction	reason
seitember	3	september	unique(september:59602)
admimistering	3	administering	unique(administering:6505)
hcspital	3	hospital	unique(hospital:36677)
psvchopath	3	psychopath	unique(psychopath:308)
suretyships	3	suretyship	unique(suretyship:63)
versonnel	3	personnel	unique(personnel:22425)
chaeter	3	chapter	dominant(chapter:358685>>charter:59157)
thezefore	3	therefore	unique(therefore:18006)
appropziate	3	appropriate	unique(appropriate:48938)
encourave	3	encourage	unique(encourage:5214)
kealth	3	health	dominant(health:180937>>wealth:272)
acministrator	3	administrator	unique(administrator:18788)
comumission	3	commission	unique(commission:129376)
pnublie	3	public	dominant(public:299558>>nubile:1)
flooa	3	flood	dominant(flood:13430>>floor:2891)
agercies	3	agencies	unique(agencies:52963)
cusiody	3	custody	unique(custody:20420)
ceriters	3	centers	dominant(centers:9583>>writers:58)
ketire	3	retire	unique(retire:3589)
puation	3	portion	dominant(portion:50368>>station:5938)
institucions	3	institutions	unique(institutions:41733)
imcludes	3	includes	unique(includes:27123)
dispcsition	3	disposition	unique(disposition:12404)
imcorporates	3	incorporates	unique(incorporates:3142)
consilera	3	consider	dominant(consider:12596>>considers:1737)
fereral	3	federal	unique(federal:86738)
dcnor	3	donor	unique(donor:1877)
wnformation	3	information	unique(information:82633)
seeals	3	seals	dominant(seals:449>>steals:37)
ircluded	3	included	unique(included:27309)
shareholiers	3	shareholders	unique(shareholders:4408)
acerved	3	served	dominant(served:26748>>accrued:6302)
iiability	3	liability	dominant(liability:27341>>inability:2103)
commcdities	3	commodities	unique(commodities:2113)
faiure	3	failure	unique(failure:23249)
leguslative	3	legislative	unique(legislative:49293)
aeceptable	3	acceptable	unique(acceptable:2822)
examme	3	examine	dominant(examine:6769>>exam:1211)
tavorable	3	favorable	unique(favorable:1472)
reterendum	3	referendum	unique(referendum:4243)
januars	3	january	dominant(january:80723>>jaguars:0)
reistatement	3	reinstatement	dominant(reinstatement:3671>>restatement:121)
couutry	3	country	unique(country:5896)
reher	3	refer	dominant(refer:5423>>rehear:57)
bridzes	3	bridges	dominant(bridges:4156>>brides:18)
ermployees	3	employees	unique(employees:65531)
disciplmary	3	disciplinary	unique(disciplinary:4886)
commoditv	3	commodity	unique(commodity:5362)
kelations	3	relations	unique(relations:5108)
tarution	3	taxation	dominant(taxation:42154>>caution:258)
nembership	3	membership	unique(membership:14843)
legts	3	leges	dominant(leges:521>>legs:98)
pusitic	3	politic	dominant(politic:735>>rustic:10)
terrtory	3	territory	unique(territory:25985)
consolidatec	3	consolidated	dominant(consolidated:8783>>consolidate:1304)
measuies	3	measures	unique(measures:9600)
conclusicn	3	conclusion	unique(conclusion:4000)
foriginal	3	original	unique(original:28183)
tnvesti	3	invest	dominant(invest:3183>>invests:84)
speafied	3	specified	dominant(specified:117730>>speared:1)
unnexed	3	annexed	dominant(annexed:7202>>unsexed:6)
cirapter	3	chapter	dominant(chapter:358685>>crater:10)
nomimating	3	nominating	unique(nominating:1155)
vpportunity	3	opportunity	unique(opportunity:9533)
equivajent	3	equivalent	unique(equivalent:12269)
craptrer	3	chapter	dominant(chapter:358685>>crater:10)
humar	3	human	dominant(human:8999>>humor:22)
falue	3	value	dominant(value:49356>>false:6775)
fonditions	3	conditions	unique(conditions:48102)
pifect	3	effect	dominant(effect:146377>>direct:25194)
becumes	3	becomes	unique(becomes:15455)
orisinal	3	original	unique(original:28183)
becin	3	begin	dominant(begin:3577>>bevin:8)
amendrents	3	amendments	unique(amendments:30226)
joumals	3	journals	dominant(journals:496>>coucals:0)
hurope	3	europe	unique(europe:184)
applicazion	3	application	unique(application:76435)
outhned	3	outlined	dominant(outlined:652>>outed:6)
massion	3	mission	dominant(mission:5635>>mansion:194)
wahereass	3	whereas	unique(whereas:32050)
memorralizing	3	memorializing	unique(memorializing:487)
federul	3	federal	unique(federal:86738)
waiech	3	which	dominant(which:638761>>watch:346)
operatn	3	operate	dominant(operate:18616>>operant:2)
ielative	3	relative	dominant(relative:20205>>elative:9)
oali	3	cali	dominant(cali:7090>>ali:929)
duee	3	due	dominant(due:50235>>dues:1472)
concvrring	3	concurring	unique(concurring:10483)
scehedule	3	schedule	unique(schedule:46867)
eystem	3	system	unique(system:75125)
bstimated	3	estimated	unique(estimated:15131)
sollowing	3	following	dominant(following:166407>>hollowing:1)
investications	3	investigations	unique(investigations:4054)
puations	3	portions	dominant(portions:8145>>stations:2347)
crviu	3	civil	dominant(civil:72956>>civic:1059)
legistatne	3	legislate	unique(legislate:123)
whereeaas	3	whereas	unique(whereas:32050)
jornt	3	joint	unique(joint:35127)
higino	3	hiring	dominant(hiring:1524>>hiking:204)
oliveire	3	oliver	dominant(oliver:87>>olivenite:0)
sunnvvale	3	sunnyvale	unique(sunnyvale:341)
welative	3	relative	dominant(relative:20205>>elative:9)
eaists	3	exists	dominant(exists:6873>>easts:1)
knicut	3	knight	dominant(knight:554>>knit:21)
earthyuake	3	earthquake	unique(earthquake:3964)
commnu	3	common	dominant(common:17822>>commit:5211)
amencted	3	amended	dominant(amended:239647>>amerced:2)
brandv	3	brand	dominant(brand:3257>>brands:761)
acqustion	3	acquisition	dominant(acquisition:24462>>accusation:1979)
tendanve	3	tendance	unique(tendance:395)
geeral	3	general	unique(general:134878)
ratirication	3	ratification	unique(ratification:3255)
prujects	3	projects	unique(projects:26531)
conimittees	3	committees	unique(committees:10656)
addine	3	adding	dominant(adding:5720>>addie:43)
aiforded	3	afforded	unique(afforded:1874)
nnprovements	3	improvements	unique(improvements:20941)
denonnnation	3	denomination	unique(denomination:1974)
sinatures	3	signatures	unique(signatures:6388)
naturahzation	3	naturalization	unique(naturalization:843)
sudmitted	3	submitted	unique(submitted:31521)
ordnanees	3	ordinances	dominant(ordinances:11132>>ordnance:191)
delerates	3	delegates	unique(delegates:2884)
uandidates	3	candidates	unique(candidates:10695)
nomimee	3	nominee	unique(nominee:1621)
trets	3	trees	dominant(trees:2697>>treats:472)
dibtrict	3	district	unique(district:378970)
watbon	3	watson	unique(watson:685)
abseat	3	absent	unique(absent:5358)
machme	3	machine	dominant(machine:2845>>mayhem:658)
coniest	3	contest	dominant(contest:3472>>conies:20)
vorters	3	voters	dominant(voters:21108>>porters:195)
stamn	3	stamp	dominant(stamp:3346>>stan:154)
speetion	3	section	unique(section:1401134)
testmony	3	testimony	unique(testimony:8399)
knforcement	3	enforcement	unique(enforcement:36453)
pemly	3	newly	dominant(newly:3731>>rely:749)
cistance	3	distance	unique(distance:4795)
erackit	3	bracket	dominant(bracket:149>>racket:2)
establisnment	3	establishment	unique(establishment:14964)
dissolutwn	3	dissolution	dominant(dissolution:5903>>dissolute:61)
teatures	3	features	dominant(features:994>>textures:16)
eeil	3	eel	dominant(eel:516>>evil:73)
esterior	3	exterior	unique(exterior:2971)
cnaprter	3	chapter	dominant(chapter:358685>>charter:59157)
primted	3	printed	dominant(printed:18014>>primed:55)
euarantee	3	guarantee	unique(guarantee:4094)
continuiny	3	continuing	dominant(continuing:9136>>continuity:882)
jawfullv	3	lawfully	dominant(lawfully:4664>>awfully:4)
faithiully	3	faithfully	unique(faithfully:1028)
eavipment	3	equipment	unique(equipment:34393)
contrery	3	contrary	unique(contrary:7382)
unincorpurated	3	unincorporated	unique(unincorporated:4227)
petthon	3	petition	dominant(petition:57152>>patton:380)
vress	3	press	dominant(press:1592>>dress:218)
pzrents	3	parents	unique(parents:16615)
sdecial	3	special	unique(special:80379)
hendicapped	3	handicapped	unique(handicapped:6800)
institutiors	3	institutions	dominant(institutions:41733>>institutors:0)
accidert	3	accident	unique(accident:6911)
iiducation	3	education	dominant(education:130034>>indication:527)
orcier	3	order	dominant(order:160952>>trier:486)
geverning	3	governing	unique(governing:56153)
klementary	3	elementary	unique(elementary:12802)
credentiais	3	credentials	unique(credentials:2111)
eamination	3	examination	dominant(examination:31415>>lamination:0)
nupil	3	pupil	unique(pupil:15801)
ettachment	3	attachment	unique(attachment:4713)
corvs	3	corps	dominant(corps:3707>>cores:97)
fannuity	3	annuity	unique(annuity:7183)
wé	3	we	dominant(we:7281>>wo:774)
siatus	3	status	dominant(status:14297>>situs:354)
alisence	3	absence	dominant(absence:12303>>licence:3)
drath	3	death	dominant(death:26873>>rath:10)
servace	3	service	unique(service:158069)
proceeling	3	proceeding	unique(proceeding:29993)
benefiziary	3	beneficiary	unique(beneficiary:10714)
cunduct	3	conduct	unique(conduct:30663)
retred	3	retired	dominant(retired:10407>>reared:85)
mbtary	3	notary	dominant(notary:1980>>mary:581)
resicing	3	residing	dominant(residing:6207>>resiting:0)
exemntion	3	exemption	unique(exemption:17122)
circulztion	3	circulation	unique(circulation:9775)
traiaing	3	training	dominant(training:35144>>trailing:5)
ccnvey	3	convey	unique(convey:3383)
cirzula	3	circular	dominant(circular:525>>cingula:0)
regtla	3	regular	dominant(regular:37157>>rental:9760)
miain	3	main	dominant(main:6226>>mirin:0)
regrula	3	regular	dominant(regular:37157>>ferula:0)
facities	3	facilities	dominant(facilities:61569>>cities:20019)
eustodv	3	custody	unique(custody:20420)
oréer	3	order	unique(order:160952)
higker	3	higher	dominant(higher:12034>>hiker:0)
assv	3	ass	unique(ass:173)
codifieation	3	codification	unique(codification:421)
regulauons	3	regulations	dominant(regulations:71915>>regulators:55)
rearl	3	real	dominant(real:51419>>rear:2315)
affidayit	3	affidavit	unique(affidavit:13426)
imtrastate	3	intrastate	unique(intrastate:1413)
wilfwily	3	wilfully	dominant(wilfully:1420>>wilily:0)
septemner	3	september	unique(september:59602)
fidneiary	3	fiduciary	unique(fiduciary:2762)
hiehest	3	highest	unique(highest:6829)
suiiicient	3	sufficient	unique(sufficient:32519)
encess	3	excess	unique(excess:31152)
septembir	3	september	unique(september:59602)
teassessments	3	reassessments	unique(reassessments:463)
issced	3	issued	unique(issued:89892)
beotember	3	september	unique(september:59602)
sermice	3	service	unique(service:158069)
contigucus	3	contiguous	unique(contiguous:3357)
vible	3	viable	dominant(viable:299>>bible:31)
penilty	3	penalty	unique(penalty:28562)
serrice	3	service	unique(service:158069)
septermber	3	september	unique(september:59602)
jegitimate	3	legitimate	unique(legitimate:805)
annexaticn	3	annexation	unique(annexation:8700)
uied	3	used	dominant(used:113647>>died:1805)
bothin	3	within	dominant(within:253350>>both:61005)
accordaice	3	accordance	unique(accordance:66778)
ecte	3	este	unique(este:85)
lecense	3	license	unique(license:90825)
deales	3	dealer	dominant(dealer:13654>>dealers:2659)
evoperation	3	operation	dominant(operation:35926>>cooperation:5283)
fmect	3	effect	dominant(effect:146377>>meet:30789)
suifcient	3	sufficient	unique(sufficient:32519)
credii	3	credit	unique(credit:53939)
agieement	3	agreement	unique(agreement:47959)
accic	3	acid	dominant(acid:1583>>attic:105)
expemes	3	expenses	dominant(expenses:58746>>expense:15001)
impzovements	3	improvements	unique(improvements:20941)
governec	3	governed	unique(governed:6429)
bounclaries	3	boundaries	unique(boundaries:21350)
cleclar	3	clear	dominant(clear:4645>>cellar:186)
aopointed	3	appointed	unique(appointed:49232)
distrint	3	district	dominant(district:378970>>distraint:10)
supet	3	super	dominant(super:6713>>supt:81)
miisceellaneous	3	miscellaneous	unique(miscellaneous:2871)
computetion	3	computation	unique(computation:5287)
custouy	3	custody	unique(custody:20420)
piesentation	3	presentation	unique(presentation:5674)
colleetec	3	collected	unique(collected:32522)
preceling	3	preceding	unique(preceding:31202)
mamntenance	3	maintenance	unique(maintenance:29243)
seconpary	3	secondary	unique(secondary:5044)
precedinz	3	preceding	unique(preceding:31202)
avvlication	3	application	unique(application:76435)
educstion	3	education	dominant(education:130034>>eduction:16)
nurserv	3	nursery	dominant(nursery:1175>>nurser:2)
notree	3	notice	dominant(notice:138786>>note:17687)
zohe	3	zone	dominant(zone:19779>>zoe:25)
posil	3	posit	unique(posit:203)
ghort	3	short	dominant(short:5635>>ghost:16)
imiormation	3	information	dominant(information:82633>>importation:686)
adnsory	3	advisory	dominant(advisory:15353>>sensory:66)
retauer	3	retailer	dominant(retailer:4609>>reader:263)
faamination	3	examination	dominant(examination:31415>>fascination:0)
ovinion	3	opinion	unique(opinion:9308)
esiaie	3	estate	dominant(estate:32153>>escape:2689)
findmes	3	finds	dominant(finds:28469>>fines:5970)
volations	3	violations	dominant(violations:8264>>vocations:151)
wstice	3	notice	dominant(notice:138786>>justice:33182)
indebi	3	index	dominant(index:5266>>indeed:44)
pursaant	3	pursuant	unique(pursuant:316406)
transfercr	3	transferor	unique(transferor:4075)
distriouting	3	distributing	unique(distributing:1979)
adyusted	3	adjusted	unique(adjusted:10848)
aereed	3	agreed	unique(agreed:8554)
housenold	3	household	unique(household:6407)
eceordance	3	accordance	unique(accordance:66778)
uiled	3	filed	dominant(filed:145073>>piled:371)
suprort	3	support	unique(support:70908)
estumates	3	estimates	unique(estimates:5279)
unexperded	3	unexpended	unique(unexpended:2126)
admiristered	3	administered	unique(administered:7874)
applicabinty	3	applicability	unique(applicability:934)
employimg	3	employing	unique(employing:4854)
walve	3	waive	dominant(waive:3485>>valve:209)
mintary	3	military	dominant(military:13580>>monetary:2486)
tmproper	3	improper	unique(improper:1144)
brovisions	3	provisions	unique(provisions:211160)
cosureties	3	sureties	unique(sureties:3499)
bondas	3	bonds	dominant(bonds:113404>>bond's:0)
musdemeanor	3	misdemeanor	unique(misdemeanor:17040)
subeontractors	3	subcontractors	unique(subcontractors:513)
ciean	3	clean	unique(clean:3175)
secretazy	3	secretary	unique(secretary:133735)
organvation	3	organization	unique(organization:34750)
streetear	3	streetcar	unique(streetcar:78)
diistrict	3	district	unique(district:378970)
tiustee	3	trustee	unique(trustee:13852)
appty	3	apply	unique(apply:71724)
grcunds	3	grounds	unique(grounds:12830)
amow	3	amon	dominant(amon:113>>amos:36)
ereement	3	agreement	dominant(agreement:47959>>element:3712)
excharge	3	exchange	unique(exchange:15757)
apvlicable	3	applicable	unique(applicable:47917)
acyuires	3	acquires	unique(acquires:1682)
aliowable	3	allowable	unique(allowable:4668)
taxoayer	3	taxpayer	unique(taxpayer:26282)
corverted	3	converted	unique(converted:2041)
heneficiaries	3	beneficiaries	unique(beneficiaries:4392)
ionger	3	longer	dominant(longer:10339>>conger:6)
chapprer	3	chapter	dominant(chapter:358685>>chappie:58)
ydgment	3	judgment	dominant(judgment:44862>>augment:1190)
pornt	3	point	dominant(point:21703>>port:6694)
permssion	3	permission	unique(permission:4156)
sicns	3	signs	dominant(signs:4714>>sins:39)
inyunction	3	injunction	dominant(injunction:2671>>inunction:10)
conditwns	3	conditions	unique(conditions:48102)
chaprrer	3	chapter	dominant(chapter:358685>>charter:59157)
eoncurred	3	concurred	unique(concurred:567)
thspection	3	inspection	unique(inspection:23258)
acceptane	3	acceptance	dominant(acceptance:4901>>acceptant:0)
rembure	3	reimburse	dominant(reimburse:9984>>demure:0)
senarately	3	separately	unique(separately:6450)
svnecified	3	specified	unique(specified:117730)
wliich	3	which	dominant(which:638761>>winch:25)
safelv	3	safely	unique(safely:1446)
aitted	3	fitted	dominant(fitted:233>>pitted:12)
cousistent	3	consistent	unique(consistent:13082)
wariants	3	warrants	dominant(warrants:13158>>variants:114)
colorapo	3	colorado	unique(colorado:1116)
ekach	3	each	unique(each:290687)
meturity	3	maturity	unique(maturity:6920)
stagzered	3	staggered	unique(staggered:301)
siled	3	filed	dominant(filed:145073>>piled:371)
telated	3	related	dominant(related:27747>>elated:7)
tezritory	3	territory	unique(territory:25985)
anyoue	3	anyone	unique(anyone:1403)
eccord	3	accord	unique(accord:2991)
const-uction	3	construction	unique(construction:56614)
limitatiors	3	limitations	unique(limitations:11279)
ixterest	3	interest	unique(interest:116850)
neaning	3	meaning	dominant(meaning:27057>>nearing:112)
felory	3	felony	dominant(felony:15026>>flory:1)
speciiy	3	specify	unique(specify:11915)
qualificatiors	3	qualifications	unique(qualifications:11529)
tevoke	3	revoke	dominant(revoke:6397>>evoke:4)
trarsported	3	transported	unique(transported:3512)
actualiy	3	actually	dominant(actually:12945>>actuality:5)
mntent	3	intent	unique(intent:28035)
witrin	3	within	dominant(within:253350>>citrin:0)
prozects	3	projects	dominant(projects:26531>>protects:157)
traininz	3	training	unique(training:35144)
certifleation	3	certification	unique(certification:18685)
uumediately	3	immediately	dominant(immediately:59281>>mediately:485)
wuiled	3	wiled	dominant(wiled:80>>wailed:2)
addzess	3	address	unique(address:28716)
reidered	3	rendered	unique(rendered:16453)
beei	3	been	dominant(been:184233>>beer:2804)
eonelusion	3	conclusion	unique(conclusion:4000)
cment	3	cent	dominant(cent:15931>>cement:625)
beneficicry	3	beneficiary	unique(beneficiary:10714)
presumptin	3	presumption	unique(presumption:2401)
fanuly	3	family	dominant(family:30153>>faculty:3184)
rerurns	3	returns	dominant(returns:9391>>reruns:2)
yomt	3	not	dominant(not:652218>>out:77527)
taxparer	3	taxpayer	unique(taxpayer:26282)
jvly	3	july	unique(july:75897)
commat	3	commit	dominant(commit:5211>>combat:433)
altemate	3	alternate	dominant(alternate:4038>>ultimate:1137)
peyson	3	person	unique(person:339208)
copartnersnip	3	copartnership	unique(copartnership:1243)
redempiion	3	redemption	unique(redemption:11831)
ecrrect	3	correct	dominant(correct:7578>>erect:1987)
definiticn	3	definition	unique(definition:8952)
limtatons	3	limitations	unique(limitations:11279)
handiing	3	handling	dominant(handling:4618>>handing:13)
satekeeping	3	safekeeping	unique(safekeeping:790)
boxholder	3	bondholder	dominant(bondholder:295>>beholder:0)
artrele	3	article	dominant(article:188766>>artel:3)
vwlation	3	violation	dominant(violation:50606>>valuation:9188)
proratior	3	proration	unique(proration:690)
considerstion	3	consideration	unique(consideration:15835)
remaiuing	3	remaining	unique(remaining:13722)
develor	3	develop	unique(develop:14158)
ccnsideration	3	consideration	unique(consideration:15835)
cistributors	3	distributors	unique(distributors:1670)
cocperative	3	cooperative	unique(cooperative:5525)
hazarc	3	hazard	unique(hazard:3395)
clessified	3	classified	unique(classified:9905)
tuem	3	them	dominant(them:35249>>tue:626)
annuelly	3	annually	unique(annually:18682)
lithorraphed	3	lithographed	unique(lithographed:471)
tabies	3	tables	dominant(tables:1481>>rabies:147)
coopezate	3	cooperate	unique(cooperate:3401)
ccntain	3	contain	unique(contain:22497)
apertment	3	apartment	unique(apartment:2149)
searcity	3	scarcity	unique(scarcity:77)
instriet	3	instruct	unique(instruct:956)
aforvsaid	3	aforesaid	unique(aforesaid:7864)
riola	3	viola	unique(viola:703)
lakor	3	labor	dominant(labor:27236>>laker:13)
theveafter	3	thereafter	unique(thereafter:34064)
azcord	3	accord	unique(accord:2991)
comuct	3	court	dominant(court:242103>>conduct:30663)
suspenslon	3	suspension	unique(suspension:13741)
furction	3	function	unique(function:4761)
exclustons	3	exclusions	unique(exclusions:821)
pnensions	3	pensions	unique(pensions:1555)
contritutions	3	contributions	unique(contributions:23972)
disz	3	dis	dominant(dis:18926>>disc:215)
attainec	3	attained	unique(attained:2734)
poment	3	moment	dominant(moment:295>>potent:25)
iiring	3	hiring	dominant(hiring:1524>>wiring:239)
ncnprofit	3	nonprofit	unique(nonprofit:13196)
eligille	3	eligible	unique(eligible:35778)
cocrt	3	court	unique(court:242103)
neighborhocd	3	neighborhood	unique(neighborhood:1361)
fimg	3	fig	unique(fig:92)
imniediate	3	immediate	unique(immediate:36377)
econumic	3	economic	unique(economic:13513)
collectecl	3	collected	dominant(collected:32522>>collectedly:0)
acauiring	3	acquiring	unique(acquiring:4883)
rinng	3	ring	unique(ring:531)
lapter	3	later	dominant(later:31194>>latter:1706)
puryioses	3	purposes	unique(purposes:145202)
prrson	3	person	dominant(person:339208>>prison:19830)
comperisation	3	compensation	unique(compensation:66702)
iuiled	3	filed	dominant(filed:145073>>mailed:8057)
yuire	3	quire	unique(quire:426)
girectly	3	directly	unique(directly:19645)
establisaed	3	established	unique(established:56306)
equijment	3	equipment	unique(equipment:34393)
aporoval	3	approval	unique(approval:52484)
sclicitation	3	solicitation	unique(solicitation:2514)
pronties	3	proxies	dominant(proxies:349>>frontier:50)
munction	3	function	dominant(function:4761>>junction:989)
ticonse	3	license	dominant(license:90825>>icons:0)
overpaymen	3	overpayment	unique(overpayment:2569)
proyierty	3	property	unique(property:232058)
sernces	3	services	dominant(services:187802>>series:5877)
procvdure	3	procedure	unique(procedure:35336)
decemter	3	december	unique(december:19879)
msufficient	3	sufficient	unique(sufficient:32519)
arrend	3	amend	dominant(amend:84240>>attend:8581)
applance	3	appliance	unique(appliance:1215)
hareby	3	hereby	unique(hereby:106164)
crovision	3	provision	unique(provision:68860)
iear	3	year	dominant(year:248462>>near:11893)
accordince	3	accordance	unique(accordance:66778)
emiploy	3	employ	unique(employ:11987)
scaedule	3	schedule	unique(schedule:46867)
athietic	3	athletic	unique(athletic:1490)
porestry	3	forestry	unique(forestry:3844)
schec	3	sec	dominant(sec:381965>>she:28102)
sckedule	3	schedule	unique(schedule:46867)
sxaminers	3	examiners	unique(examiners:7251)
demards	3	demands	unique(demands:5359)
restoratior	3	restoration	unique(restoration:4437)
limitution	3	limitation	unique(limitation:9473)
prublems	3	problems	unique(problems:6289)
vlasses	3	classes	dominant(classes:15741>>glasses:113)
fontents	3	contents	unique(contents:5398)
diflerent	3	different	unique(different:9971)
restrieted	3	restricted	unique(restricted:4505)
exainina	3	examining	unique(examining:3090)
aveumulation	3	accumulation	unique(accumulation:852)
cririinal	3	criminal	unique(criminal:26841)
avezage	3	average	unique(average:27812)
amoznt	3	amount	unique(amount:233789)
relz	3	rely	unique(rely:749)
ssecial	3	special	unique(special:80379)
enactea	3	enacted	unique(enacted:32228)
pulic	3	public	dominant(public:299558>>pubic:190)
partivipation	3	participation	unique(participation:13053)
rionth	3	month	dominant(month:49879>>ninth:3175)
zdded	3	added	unique(added:94074)
obtairing	3	obtaining	unique(obtaining:6980)
eccumulated	3	accumulated	unique(accumulated:5678)
cirecting	3	directing	unique(directing:3609)
surerior	3	superior	unique(superior:35772)
irformation	3	information	unique(information:82633)
reestimated	3	estimated	unique(estimated:15131)
resonrees	3	resources	dominant(resources:42966>>resonates:0)
fictiticus	3	fictitious	unique(fictitious:1656)
stcek	3	stock	dominant(stock:23801>>step:6891)
nremium	3	premium	unique(premium:7465)
sention	3	section	dominant(section:1401134>>mention:104)
dtats	3	stats	dominant(stats:39154>>tats:147)
parzgraph	3	paragraph	unique(paragraph:70527)
applicalle	3	applicable	unique(applicable:47917)
eequired	3	required	dominant(required:172879>>enquired:0)
unmed	3	unmet	dominant(unmet:434>>unwed:43)
reqrest	3	request	unique(request:48546)
acencv	3	agency	unique(agency:176766)
zgency	3	agency	unique(agency:176766)
sision	3	vision	unique(vision:3194)
jvne	3	june	dominant(june:50166>>jane:230)
apzly	3	apply	dominant(apply:71724>>aptly:9)
nunity	3	unity	dominant(unity:118>>nudity:19)
lizenses	3	licenses	unique(licenses:11073)
jivensee	3	licensee	unique(licensee:30600)
hceense	3	cheese	dominant(cheese:2076>>cense:481)
deterriines	3	determines	unique(determines:25030)
eccident	3	accident	dominant(accident:6911>>occident:0)
vehrele	3	vehicle	unique(vehicle:96382)
soplember	3	september	dominant(september:59602>>solemner:0)
essess	3	assess	unique(assess:8378)
viclence	3	violence	unique(violence:7303)
egch	3	each	dominant(each:290687>>etch:9)
sofety	3	safety	dominant(safety:90797>>softy:0)
anticipatec	3	anticipated	dominant(anticipated:3429>>anticipates:129)
termuation	3	termination	dominant(termination:13784>>permeation:14)
relecation	3	relocation	dominant(relocation:2730>>relegation:5)
exervising	3	exercising	unique(exercising:2168)
othei	3	other	unique(other:450272)
enzage	3	engage	dominant(engage:8016>>enrage:1)
pertial	3	partial	dominant(partial:4569>>tertial:0)
regulariy	3	regularly	dominant(regularly:10036>>regularity:1130)
aale	3	sale	dominant(sale:88406>>able:12497)
rewal	3	real	dominant(real:51419>>renal:144)
cousolidated	3	consolidated	unique(consolidated:8783)
descriked	3	described	dominant(described:46112>>descried:0)
acjustment	3	adjustment	unique(adjustment:12279)
jamitation	3	limitation	dominant(limitation:9473>>sanitation:2706)
notwithstanaing	3	notwithstanding	unique(notwithstanding:58944)
organizaticns	3	organizations	unique(organizations:11555)
aitributable	3	attributable	unique(attributable:5888)
taxspaver	3	taxpayer	unique(taxpayer:26282)
memts	3	meets	dominant(meets:9452>>meats:192)
tuescay	3	tuesday	unique(tuesday:2965)
renresent	3	represent	unique(represent:7031)
recorls	3	records	dominant(records:39746>>recoils:1)
riean	3	read	dominant(read:282008>>real:51419)
professiors	3	professions	dominant(professions:34150>>professors:83)
oenefits	3	benefits	unique(benefits:39317)
handied	3	handled	dominant(handled:2655>>handed:180)
orgam	3	organ	dominant(organ:1045>>orgasm:0)
eqval	3	equal	unique(equal:37809)
stiate	3	state	dominant(state:880230>>satiate:1)
faylure	3	failure	unique(failure:23249)
prorgerty	3	property	unique(property:232058)
chaptea	3	chapter	unique(chapter:358685)
amenden	3	amended	dominant(amended:239647>>amender:5)
insnector	3	inspector	unique(inspector:5334)
dffice	3	office	unique(office:138824)
pussuant	3	pursuant	unique(pursuant:316406)
putition	3	petition	unique(petition:57152)
tenefit	3	benefit	unique(benefit:36665)
zcne	3	zone	dominant(zone:19779>>zine:77)
shzli	3	shall	dominant(shall:2006583>>shell:1725)
avehicle	3	vehicle	unique(vehicle:96382)
specificelly	3	specifically	unique(specifically:10879)
joeality	3	locality	dominant(locality:1054>>reality:99)
knowm	3	known	dominant(known:33090>>know:1551)
childrea	3	children	unique(children:34332)
disciosure	3	disclosure	unique(disclosure:9835)
cumpliance	3	compliance	unique(compliance:22372)
nignways	3	highways	unique(highways:20097)
isszed	3	issued	unique(issued:89892)
governmertal	3	governmental	unique(governmental:12298)
honovable	3	honorable	unique(honorable:1714)
sclano	3	solano	unique(solano:2295)
puor	3	poor	dominant(poor:1018>>pour:44)
wheerzas	3	whereas	dominant(whereas:32050>>wheezes:0)
buclget	3	budget	dominant(budget:49202>>bullet:164)
waherzas	3	whereas	unique(whereas:32050)
cochairmen	3	chairmen	unique(chairmen:405)
diseontinu	3	discontinue	unique(discontinue:853)
regivnal	3	regional	unique(regional:22498)
legislativn	3	legislative	dominant(legislative:49293>>legislation:7846)
sharehalders	3	shareholders	unique(shareholders:4408)
determir	3	determine	dominant(determine:40531>>determiner:6)
aceorded	3	accorded	unique(accorded:722)
purjoses	3	purposes	unique(purposes:145202)
preeedine	3	preceding	dominant(preceding:31202>>predefine:0)
appointmeuts	3	appointments	unique(appointments:4941)
correetions	3	corrections	unique(corrections:9287)
soupces	3	sources	unique(sources:11542)
membersip	3	membership	unique(membership:14843)
niail	3	nail	dominant(nail:93>>nihil:0)
agrency	3	agency	unique(agency:176766)
marntenance	3	maintenance	unique(maintenance:29243)
sepemer	3	september	dominant(september:59602>>seeker:45)
varrant	3	warrant	dominant(warrant:16763>>vagrant:68)
fums	3	sums	dominant(sums:8947>>furs:157)
repmts	3	reports	dominant(reports:20853>>rents:3152)
ttules	3	rules	dominant(rules:46125>>titles:1785)
articic	3	article	dominant(article:188766>>artistic:425)
recorery	3	recovery	unique(recovery:9328)
peserve	3	reserve	dominant(reserve:14498>>preserve:4204)
requizements	3	requirements	unique(requirements:62915)
busmmess	3	business	dominant(business:122102>>busyness:2)
parkirg	3	parking	unique(parking:10509)
intenor	3	intent	dominant(intent:28035>>inter:3530)
withdrawine	3	withdrawing	unique(withdrawing:665)
lecome	3	become	unique(become:63283)
insuze	3	insure	unique(insure:4455)
womediately	3	immediately	dominant(immediately:59281>>mediately:485)
fulea	3	flea	dominant(flea:60>>fula:0)
lwense	3	license	dominant(license:90825>>lease:27131)
parlure	3	failure	dominant(failure:23249>>pasture:150)
prinr	3	prior	dominant(prior:102799>>print:2368)
acquisitioa	3	acquisition	unique(acquisition:24462)
tecause	3	because	unique(because:32120)
authozity	3	authority	unique(authority:77459)
apvears	3	appears	unique(appears:9015)
